step,lane,answer_ce,answer_acc,tail_gate,fill_gate,target_gate,nontarget_gate,decoy_gate
1050,srd,2.20902,0.09375,0.578296,0.282483,0.317025,0.331233,0
1050,srd_f,2.20511,0.09375,0.639046,0.653503,0.665858,0.636454,0
1075,exact,2.06108,0.15625,0,0,0,0,0
1075,kimi,2.05986,0.15625,0,0,0,0,0
1075,srd,2.06665,0.15625,0.561547,0.281162,0.306991,0.316669,0
1075,srd_f,2.05329,0.15625,0.64476,0.650393,0.655412,0.656076,0
1100,exact,2.18923,0.03125,0,0,0,0,0
1100,kimi,2.19288,0.03125,0,0,0,0,0
1100,srd,2.1778,0.03125,0.539419,0.281358,0.303442,0.309368,0
1100,srd_f,2.18585,0.03125,0.635833,0.647834,0.654092,0.652005,0
1125,exact,2.14605,0.09375,0,0,0,0,0
1125,kimi,2.15458,0.09375,0,0,0,0,0
1125,srd,2.15043,0.09375,0.513217,0.281094,0.294423,0.297439,0
1125,srd_f,2.15044,0.09375,0.65691,0.646563,0.633772,0.658691,0
1150,exact,2.02443,0.15625,0,0,0,0,0
1150,kimi,2.01748,0.15625,0,0,0,0,0
1150,srd,2.00717,0.15625,0.489356,0.282351,0.288879,0.290894,0
1150,srd_f,2.01882,0.15625,0.633809,0.642868,0.655269,0.659994,0
1175,exact,2.08447,0.15625,0,0,0,0,0
1175,kimi,2.09216,0.15625,0,0,0,0,0
1175,srd,2.09012,0.15625,0.471963,0.280503,0.286231,0.288762,0
1175,srd_f,2.09159,0.15625,0.658667,0.640694,0.651014,0.646964,0
1200,exact,2.19436,0.03125,0,0,0,0,0
1200,kimi,2.20325,0.03125,0,0,0,0,0
1200,srd,2.21246,0.03125,0.450123,0.28071,0.283517,0.284253,0
1200,srd_f,2.20424,0.03125,0.640166,0.63946,0.629807,0.650153,0
1225,exact,2.07655,0.09375,0,0,0,0,0
1225,kimi,2.07689,0.09375,0,0,0,0,0
1225,srd,2.08284,0.09375,0.43315,0.281519,0.284921,0.285056,0
1225,srd_f,2.07989,0.09375,0.621953,0.637663,0.653361,0.639331,0
1250,exact,2.22632,0.15625,0,0,0,0,0
1250,kimi,2.23252,0.15625,0,0,0,0,0
1250,srd,2.22904,0.15625,0.416311,0.27992,0.282738,0.283209,0
1250,srd_f,2.22479,0.1875,0.644802,0.636248,0.638389,0.631669,0
1275,exact,2.10036,0.15625,0,0,0,0,0
1275,kimi,2.10811,0.15625,0,0,0,0,0
1275,srd,2.09963,0.15625,0.39775,0.280649,0.282079,0.282751,0
1275,srd_f,2.10938,0.15625,0.627501,0.635306,0.633876,0.641389,0
1300,exact,2.11379,0.15625,0,0,0,0,0
1300,kimi,2.12472,0.15625,0,0,0,0,0
1300,srd,2.12458,0.15625,0.389583,0.280314,0.283301,0.283642,0
1300,srd_f,2.12662,0.15625,0.630437,0.634647,0.633497,0.638894,0
1325,exact,2.02466,0.28125,0,0,0,0,0
1325,kimi,2.02002,0.28125,0,0,0,0,0
1325,srd,2.02205,0.28125,0.379566,0.280456,0.283569,0.28376,0
1325,srd_f,2.01854,0.28125,0.645757,0.638898,0.637703,0.643641,0
1350,exact,2.2079,0.03125,0,0,0,0,0
1350,kimi,2.2149,0.03125,0,0,0,0,0
1350,srd,2.21247,0.03125,0.362251,0.280851,0.284082,0.2843,0
1350,srd_f,2.22055,0.03125,0.629806,0.633936,0.633025,0.638793,0
1375,exact,2.22462,0.15625,0,0,0,0,0
1375,kimi,2.22588,0.15625,0,0,0,0,0
1375,srd,2.22807,0.15625,0.359463,0.279626,0.283993,0.283808,0
1375,srd_f,2.23143,0.15625,0.634807,0.631037,0.633887,0.630539,0
1400,exact,2.11329,0.03125,0,0,0,0,0
1400,kimi,2.11656,0.03125,0,0,0,0,0
1400,srd,2.11828,0.03125,0.340701,0.280379,0.282067,0.282689,0
1400,srd_f,2.11706,0.03125,0.616074,0.629651,0.628248,0.630202,0
1425,exact,2.05508,0.03125,0,0,0,0,0
1425,kimi,2.06001,0.03125,0,0,0,0,0
1425,srd,2.06005,0.03125,0.332184,0.280138,0.2824,0.282942,0
1425,srd_f,2.05969,0.0625,0.63221,0.628499,0.635516,0.62543,0
1450,exact,2.11744,0.03125,0,0,0,0,0
1450,kimi,2.11973,0.03125,0,0,0,0,0
1450,srd,2.11843,0.03125,0.321592,0.280285,0.28331,0.282958,0
1450,srd_f,2.11926,0.03125,0.632885,0.626428,0.625566,0.635536,0
1475,exact,2.06251,0.15625,0,0,0,0,0
1475,kimi,2.06428,0.15625,0,0,0,0,0
1475,srd,2.06955,0.15625,0.314089,0.279829,0.283586,0.2837,0
1475,srd_f,2.06238,0.15625,0.639911,0.625217,0.628424,0.620872,0
1500,exact,2.14059,0.03125,0,0,0,0,0
1500,kimi,2.14484,0.03125,0,0,0,0,0
1500,srd,2.13728,0.03125,0.303525,0.279301,0.28279,0.282795,0
1500,srd_f,2.14142,0.03125,0.631735,0.623963,0.643517,0.63472,0
